8	16	14	16	15	10	17	4	19	12	1	6	5	0	0	10	13	4	6	6
5	13	12	2	10	18	19	16	5	10	5	3	8	6	9	8	8	6	18	17
17	2	12	17	2	16	17	2	18	11	2	8	12	4	7	1	19	17	16	19
7	18	6	11	16	3	9	15	16	13	10	8	14	0	17	3	11	4	7	14
14	11	12	14	0	3	1	18	13	2	9	2	0	9	2	14	19	6	7	3
12	15	12	1	16	8	10	1	15	3	19	17	9	2	10	11	13	15	7	18
0	16	8	16	19	2	2	15	3	16	7	0	1	17	3	14	16	7	15	2
17	3	15	12	10	19	7	15	14	17	10	13	7	14	5	17	12	19	6	13
2	15	14	14	5	9	13	1	3	2	13	10	8	13	15	17	4	1	3	7
6	11	9	17	14	5	3	2	14	4	1	9	16	4	5	0	18	9	3	18
0	7	9	4	7	9	19	19	10	13	11	2	6	14	3	10	5	3	3	5
5	2	11	19	0	10	18	2	5	3	5	10	11	0	3	17	16	12	17	0
11	2	10	15	15	8	3	10	18	4	9	1	1	0	9	11	5	19	18	7
13	3	19	14	9	4	13	17	6	4	1	15	9	16	3	3	9	14	18	5
15	11	5	10	14	9	16	17	17	3	2	12	17	0	1	11	12	7	10	19
6	12	16	11	10	0	2	12	13	12	7	3	11	13	1	16	5	9	11	5
11	8	19	2	14	16	6	11	4	1	15	1	11	9	3	19	14	15	19	12
12	3	15	10	5	3	3	6	17	9	11	7	6	17	12	2	9	6	17	12
17	9	8	11	18	10	0	7	14	19	1	3	6	10	15	11	19	3	19	4
14	5	3	8	7	0	16	16	3	12	0	12	15	6	17	17	19	17	19	18
8	13	19	19	19	18	7	9	18	13	15	12	0	1	1	1	7	15	5	2
0	3	14	8	17	15	18	15	0	10	19	3	15	3	3	2	18	15	11	19
2	11	0	10	18	0	13	1	5	11	10	1	5	18	11	9	8	14	5	14
7	17	14	7	7	18	1	4	4	3	14	5	1	14	6	2	11	12	8	0
16	17	15	15	10	3	3	19	6	3	7	1	5	19	15	15	7	10	16	18
5	6	10	5	7	11	17	10	4	17	15	10	14	19	1	14	9	2	15	18
5	5	17	7	14	18	15	6	19	9	10	1	7	15	13	16	3	2	7	19
3	9	6	10	8	2	7	12	0	13	9	10	9	9	0	0	14	17	7	7
3	8	13	1	8	19	13	11	6	19	4	17	1	16	1	10	8	4	15	13
3	15	9	5	6	10	7	5	4	16	10	15	8	0	13	7	19	5	11	12
0	8	16	6	3	5	0	15	19	6	5	12	9	9	15	7	11	14	17	18
0	9	13	7	0	14	17	2	16	7	13	7	3	2	10	7	18	5	19	5
16	5	15	4	3	2	16	6	15	19	14	8	16	18	3	6	13	5	0	3
1	13	14	12	0	8	8	6	5	4	0	15	17	19	15	6	11	17	15	5
1	18	11	5	18	18	6	4	15	0	9	7	7	3	11	3	5	7	3	4
5	11	13	1	19	6	0	7	17	0	11	9	5	13	17	19	11	5	18	10
15	17	13	5	17	14	10	6	3	11	4	12	7	10	3	0	17	19	16	0
11	12	15	17	19	8	15	18	13	14	2	17	2	15	6	7	11	7	19	7
14	17	19	17	5	19	14	9	19	1	9	15	6	2	6	11	2	1	11	14
16	3	17	12	16	0	7	10	13	1	11	6	1	1	10	8	16	14	8	11
3	7	0	10	16	14	9	7	19	15	18	13	15	4	3	15	7	1	15	4
11	5	9	19	10	19	8	10	4	13	4	0	12	2	2	2	4	0	10	11
